ID,status,superkingdom,phylum,class,order,family,genus,species,strain
contig_4,nomatch,,,,,,,,
contig_7,found,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,
contig_9,nomatch,,,,,,,,
contig_3,nomatch,,,,,,,,
contig_16,nomatch,,,,,,,,
contig_1,disagree,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,
contig_11,nomatch,,,,,,,,
contig_20,nomatch,,,,,,,,
contig_8,found,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,
contig_24,nomatch,,,,,,,,
contig_5,nomatch,,,,,,,,
contig_23,nomatch,,,,,,,,
contig_19,nomatch,,,,,,,,
contig_18,nomatch,,,,,,,,
contig_22,nomatch,,,,,,,,
