#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	4790	4966	+	EMBJFE_00006	6.4	5.3		RefSeq:WP_157772009.1, SO:0001217, UniParc:UPI0007DDED69, UniRef:UniRef100_A0A181CAI0, UniRef:UniRef50_A0A181CAI0, UniRef:UniRef90_A0A181CAI0
contig_1	4999	5163	+	EMBJFE_00007	5.5	4.6		RefSeq:WP_007398499.1, SO:0001217, UniParc:UPI000208074E, UniRef:UniRef100_A0A181CAM4, UniRef:UniRef50_A0A181CAM4, UniRef:UniRef90_A0A181CAM4
contig_1	7700	8029	+	EMBJFE_00011	10.8	9.0		
contig_1	8666	8905	-	EMBJFE_00013	8.6	10.1		RefSeq:WP_112210005.1, SO:0001217, UniParc:UPI0007DE2C38, UniRef:UniRef100_A0A181CAK9, UniRef:UniRef50_A0A181CAK9, UniRef:UniRef90_A0A181CAK9
contig_1	10852	11001	-	EMBJFE_00017	5.2	12.0		RefSeq:WP_007398488.1, SO:0001217, UniParc:UPI0002080743, UniRef:UniRef100_A0A181CAL6, UniRef:UniRef50_A0A181CAL6, UniRef:UniRef90_A0A181CAL6
contig_1	11849	12232	-	EMBJFE_00019	13.1	9.6		SO:0001217, UniRef:UniRef50_G2I452, UniRef:UniRef90_A0A858JEJ1
contig_1	12189	12680	-	EMBJFE_00020	17.3	8.6		RefSeq:WP_007398485.1, SO:0001217, UniParc:UPI0002080740, UniRef:UniRef100_A0A181CAJ5, UniRef:UniRef50_A0A9N7CPN5, UniRef:UniRef90_A0A181CAJ5
contig_1	18133	18366	-	EMBJFE_00028	8.2	12.0		RefSeq:WP_139064286.1, SO:0001217, UniParc:UPI0002FDA5E1, UniRef:UniRef100_A0A181CAG2, UniRef:UniRef50_A0A181CAG2, UniRef:UniRef90_A0A181CAG2
contig_1	21566	22858	-	EMBJFE_00033	43.4	12.0		RefSeq:WP_099963227.1, SO:0001217, UniParc:UPI0007DCD737, UniRef:UniRef100_A0A181CAJ0, UniRef:UniRef50_A0A181CAJ0, UniRef:UniRef90_A0A181CAJ0
contig_1	26503	27153	-	EMBJFE_00038	22.3	6.9		RefSeq:WP_007398469.1, SO:0001217, UniParc:UPI000208063A, UniRef:UniRef100_A0A181CAF3, UniRef:UniRef50_G2I435, UniRef:UniRef90_A0A181CAF3
contig_1	34990	36111	-	EMBJFE_00047	40.0	5.2		RefSeq:WP_007398457.1, SO:0001217, UniParc:UPI000208062E, UniRef:UniRef100_A0A181CAI7, UniRef:UniRef50_G2I420, UniRef:UniRef90_A0A181CAI7
contig_1	45403	45939	+	EMBJFE_00055	20.0	6.8	PF08883.16|DOPA_dioxygen	PFAM:PF08883.16
contig_1	49340	49429	-	EMBJFE_00059	3.0	12.0		
contig_1	49441	49905	-	EMBJFE_00060	16.5	5.5		RefSeq:WP_007398443.1, SO:0001217, UniParc:UPI0002080620, UniRef:UniRef100_A0A181CAF7, UniRef:UniRef50_G2I415, UniRef:UniRef90_A0A0N1N784
contig_1	56579	56848	+	EMBJFE_00067	9.4	11.2		RefSeq:WP_051672135.1, SO:0001217, UniParc:UPI0004D963AD, UniRef:UniRef100_A0A181CAG7, UniRef:UniRef50_A0A0D6Q8N5, UniRef:UniRef90_A0A181CAG7
