#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_3	58987	59238	-	JPEOAD_00057	8.2	9.1		
contig_3	71157	71348	+	JPEOAD_00069	7.2	11.2		RefSeq:WP_034928534.1, SO:0001217, UniParc:UPI00030E070E, UniRef:UniRef100_A0A181CD32, UniRef:UniRef50_G2I6F5, UniRef:UniRef90_G2I6F5
contig_3	87909	88430	+	JPEOAD_00085	18.6	5.0		RefSeq:WP_007397813.1, SO:0001217, UniParc:UPI00020804F3, UniRef:UniRef100_A0A181CD71, UniRef:UniRef50_G2I6H0, UniRef:UniRef90_A0A181CD71
contig_3	97770	97907	+	JPEOAD_00094	5.2	11.6		
contig_3	123478	123570	-	JPEOAD_00114	3.2	5.7		
contig_3	126746	127075	+	JPEOAD_00117	11.4	4.4		RefSeq:WP_007397775.1, SO:0001217, UniParc:UPI00020803DA, UniRef:UniRef100_A0A181CD95, UniRef:UniRef50_G2I6H8, UniRef:UniRef90_A0A181CD95
contig_3	142185	142790	+	JPEOAD_00133	21.6	5.1		RefSeq:WP_007397754.1, SO:0001217, UniParc:UPI00020803C5, UniRef:UniRef100_A0A181CDL2, UniRef:UniRef50_A0A857FU34, UniRef:UniRef90_A0A181CDL2
contig_3	264806	264982	+	JPEOAD_00244	6.6	4.1		RefSeq:WP_007397626.1, SO:0001217, UniParc:UPI000208006F, UniRef:UniRef100_A0A181CDM4, UniRef:UniRef50_A0A181CDM4, UniRef:UniRef90_A0A181CDM4
contig_3	282986	283225	+	JPEOAD_00259	8.4	9.5		
contig_3	292959	293336	+	JPEOAD_00268	13.9	8.7		SO:0001217, UniRef:UniRef50_UPI0011B52B33, UniRef:UniRef90_UPI0011B52B33
contig_3	304649	304879	-	JPEOAD_00278	8.7	4.9		
contig_3	323167	323664	+	JPEOAD_00298	18.5	6.2		RefSeq:WP_007397559.1, SO:0001217, UniParc:UPI000207FE28, UniRef:UniRef100_UPI000207FE28, UniRef:UniRef50_A0A318Q2P2, UniRef:UniRef90_A0A858JNA0
contig_3	323806	324648	-	JPEOAD_00299	30.6	5.2	PF00383.29|dCMP_cyt_deam_1	PFAM:PF00383.29
contig_3	333687	334604	+	JPEOAD_00310	32.6	5.8		RefSeq:WP_099963284.1, SO:0001217, UniParc:UPI0002F74ED5, UniRef:UniRef100_A0A181CDT3, UniRef:UniRef50_A0A9N7H1N0, UniRef:UniRef90_A0A181CDT3
