# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_5	cds	1147	1608	+	JPEOAD_00001	299.0	1.3e-102	1.0	1.0	1.0	UniRef:UniRef90_A0A970FAD1
contig_5	cds	1665	3017	-	JPEOAD_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A970F4H2
contig_5	ncRNA	3295	3350	-	JPEOAD_00003	59.0	1.4e-10	-	-	-	RFAM:RF01691
contig_5	cds	3917	4468	+	JPEOAD_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A556BAR3
contig_3	tRNA	60	136	-	JPEOAD_00005	80.8	-	-	-	-	-
contig_3	rRNA	158	273	-	JPEOAD_00006	82.8	1.3e-13	-	-	-	RFAM:RF00001
contig_3	rRNA	387	3125	-	JPEOAD_00007	2720.6	9.8e-06	-	-	-	RFAM:RF02541
contig_3	tRNA	3520	3595	-	JPEOAD_00008	82.4	-	-	-	-	-
contig_3	tRNA	3635	3711	-	JPEOAD_00009	86.8	-	-	-	-	-
contig_3	rRNA	3882	5370	-	JPEOAD_00010	1558.1	2.1e-47	-	-	-	RFAM:RF00177
contig_3	cds	5866	7056	-	JPEOAD_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CCW2
contig_3	cds	7096	7686	-	JPEOAD_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD00
contig_3	cds	7871	8467	+	JPEOAD_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD67
contig_3	cds	8464	8844	+	JPEOAD_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CCZ4
contig_3	cds	8853	9527	+	JPEOAD_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CCZ6
contig_3	cds	9524	10876	+	JPEOAD_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD09
contig_3	cds	10876	11637	+	JPEOAD_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CCX6
contig_3	cds	11669	12079	+	JPEOAD_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD44
contig_3	cds	12107	12484	+	JPEOAD_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CCY3
contig_3	cds	12594	14378	-	JPEOAD_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD05
contig_3	cds	14562	15260	+	JPEOAD_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CCX1
contig_3	cds	15264	17390	-	JPEOAD_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD11
contig_3	cds	17579	18985	+	JPEOAD_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CD82
