# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_5	cds	1147	1608	+	JPEOAD_00001		Winged helix-turn-helix transcriptional regulator	SO:0001217, UniRef:UniRef50_G4XGN5, UniRef:UniRef90_A0A970FAD1
contig_5	cds	1665	3017	-	JPEOAD_00002	mobV	MobV family relaxase	GO:0003677, GO:0006310, RefSeq:WP_053078840.1, SO:0001217, UniParc:UPI00069DB2E2, UniRef:UniRef100_A0A970F4H2, UniRef:UniRef50_A0A264W5W6, UniRef:UniRef90_A0A970F4H2
contig_5	ncRNA	3295	3350	-	JPEOAD_00003	Bacillus-plasmid	Bacillus-plasmid RNA	RFAM:RF01691, SO:0000655
contig_5	cds	3917	4468	+	JPEOAD_00004		HTH tetR-type domain-containing protein	RefSeq:WP_000028030.1, SO:0001217, UniParc:UPI000315DCD0, UniRef:UniRef100_A0A556BAR3, UniRef:UniRef50_A0A069DTN9, UniRef:UniRef90_A0A069DTN9
contig_3	tRNA	60	136	-	JPEOAD_00005	trnfM	tRNA-fMet(cat)	SO:0000266
contig_3	rRNA	158	273	-	JPEOAD_00006	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_3	rRNA	387	3125	-	JPEOAD_00007	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_3	tRNA	3520	3595	-	JPEOAD_00008	trnA	tRNA-Ala(tgc)	SO:0000254
contig_3	tRNA	3635	3711	-	JPEOAD_00009	trnI	tRNA-Ile(gat)	SO:0000263
contig_3	rRNA	3882	5370	-	JPEOAD_00010	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_3	cds	5866	7056	-	JPEOAD_00011	ubiM	5-demethoxyubiquinol-8 5-hydroxylase UbiM	GO:0006744, GO:0016709, GO:0071949, RefSeq:WP_007399944.1, SO:0001217, UniParc:UPI000207F8B2, UniRef:UniRef100_A0A181CCW2, UniRef:UniRef50_A0A511BPX9, UniRef:UniRef90_A0A181CCW2
contig_3	cds	7096	7686	-	JPEOAD_00012		Putative NAD(P)H nitroreductase	RefSeq:WP_112210204.1, SO:0001217, UniParc:UPI0007DD99E9, UniRef:UniRef100_A0A181CD00, UniRef:UniRef50_A0A149QK32, UniRef:UniRef90_A0A181CD00
contig_3	cds	7871	8467	+	JPEOAD_00013	hisB	imidazoleglycerol-phosphate dehydratase HisB	COG:COG0131, COG:E, EC:4.2.1.19, GO:0000105, GO:0004424, RefSeq:WP_007399942.1, SO:0001217, UniParc:UPI000207F8B0, UniRef:UniRef100_A0A181CD67, UniRef:UniRef50_Q2J8L0, UniRef:UniRef90_G2I6A0
contig_3	cds	8464	8844	+	JPEOAD_00014		DUF2628 domain-containing protein	RefSeq:WP_034928623.1, SO:0001217, UniParc:UPI0004D4DDE3, UniRef:UniRef100_A0A181CCZ4, UniRef:UniRef50_A0A318QWZ4, UniRef:UniRef90_A0A181CCZ4
contig_3	cds	8853	9527	+	JPEOAD_00015	hisH	imidazole glycerol phosphate synthase subunit HisH	EC:4.3.2.10, GO:0000105, GO:0000107, RefSeq:WP_007399940.1, SO:0001217, UniParc:UPI000207F8AE, UniRef:UniRef100_A0A181CCZ6, UniRef:UniRef50_A0A508TCW1, UniRef:UniRef90_A0A181CCZ6
contig_3	cds	9524	10876	+	JPEOAD_00016	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	COG:COG0106, COG:E, EC:5.3.1.16, GO:0000105, GO:0003949, RefSeq:WP_007399939.1, SO:0001217, UniParc:UPI000207F8AD, UniRef:UniRef100_A0A181CD09, UniRef:UniRef50_A0A7H1NUN0, UniRef:UniRef90_G2I6A3
contig_3	cds	10876	11637	+	JPEOAD_00017	hisF	Imidazole glycerol phosphate synthase subunit HisF	COG:COG0107, COG:E, EC:4.3.2.10, GO:0000105, GO:0000107, GO:0005737, GO:0016829, RefSeq:WP_007399938.1, SO:0001217, UniParc:UPI000207F8AC, UniRef:UniRef100_A0A181CCX6, UniRef:UniRef50_A9GZW9, UniRef:UniRef90_A9GZW9
contig_3	cds	11669	12079	+	JPEOAD_00018	hisI2	phosphoribosyl-ATP diphosphatase	COG:COG0140, COG:E, EC:3.6.1.31, GO:0000105, GO:0004636, RefSeq:WP_007399937.1, SO:0001217, UniParc:UPI000207F8AB, UniRef:UniRef100_A0A181CD44, UniRef:UniRef50_K5ZMS0, UniRef:UniRef90_A0A318QVP3
contig_3	cds	12107	12484	+	JPEOAD_00019		Adenosine 5'-monophosphoramidase	RefSeq:WP_007399936.1, SO:0001217, UniParc:UPI000207F8AA, UniRef:UniRef100_A0A181CCY3, UniRef:UniRef50_W0AJ68, UniRef:UniRef90_G2I6A6
contig_3	cds	12594	14378	-	JPEOAD_00020		ABC transporter ATP-binding protein	RefSeq:WP_039999781.1, SO:0001217, UniParc:UPI0005879C57, UniRef:UniRef100_A0A181CD05, UniRef:UniRef50_K8P774, UniRef:UniRef90_G2I6A7
contig_3	cds	14562	15260	+	JPEOAD_00021	nth	endonuclease III	EC:4.2.99.18, GO:0006281, GO:0140078, RefSeq:WP_007399934.1, SO:0001217, UniParc:UPI000207F8A8, UniRef:UniRef100_A0A181CCX1, UniRef:UniRef50_A0A7V9N045, UniRef:UniRef90_G2I6A8
contig_3	cds	15264	17390	-	JPEOAD_00022		ComEC family competence protein	KEGG:K02238, RefSeq:WP_007399933.1, SO:0001217, UniParc:UPI000207F8A7, UniRef:UniRef100_A0A181CD11, UniRef:UniRef50_A0A347WBZ9, UniRef:UniRef90_A0A181CD11
contig_3	cds	17579	18985	+	JPEOAD_00023	gltX	glutamate--tRNA ligase	EC:6.1.1.17, GO:0000166, GO:0004818, GO:0005524, GO:0006424, RefSeq:WP_039999777.1, SO:0001217, UniParc:UPI0002EFB0F9, UniRef:UniRef100_A0A181CD82, UniRef:UniRef50_Q11HT5, UniRef:UniRef90_A0A347WBZ8
contig_3	cds	18978	19940	+	JPEOAD_00024	pyrB	aspartate carbamoyltransferase catalytic subunit	COG:COG0540, COG:F, EC:2.1.3.2, GO:0004070, GO:0006207, GO:0006520, GO:0016597, RefSeq:WP_039999775.1, SO:0001217, UniParc:UPI0003092B96, UniRef:UniRef100_A0A181CD03, UniRef:UniRef50_A7HX10, UniRef:UniRef90_G2I6B1
contig_3	cds	19937	21232	+	JPEOAD_00025		Dihydroorotase	RefSeq:WP_007399930.1, SO:0001217, UniParc:UPI000207F8A4, UniRef:UniRef100_A0A181CD07, UniRef:UniRef50_G7Z6P3, UniRef:UniRef90_A0A0M0EHX8
contig_3	cds	21229	21867	+	JPEOAD_00026	plsY	glycerol-3-phosphate 1-O-acyltransferase PlsY	COG:COG0344, COG:I, EC:2.3.1.15, GO:0005886, GO:0006654, GO:0008374, RefSeq:WP_007399929.1, SO:0001217, UniParc:UPI000207F8A3, UniRef:UniRef100_A0A181CD21, UniRef:UniRef50_Q5FRH0, UniRef:UniRef90_G2I6B3
contig_3	cds	21864	23036	+	JPEOAD_00027	dprA	DNA-processing protein DprA	GO:0009294, RefSeq:WP_007399928.1, SO:0001217, UniParc:UPI000207F8A2, UniRef:UniRef100_A0A181CCY6, UniRef:UniRef50_A0A0M0EGY0, UniRef:UniRef90_A0A181CCY6
contig_3	cds	23082	25814	+	JPEOAD_00028	topA	type I DNA topoisomerase	EC:5.6.2.1, GO:0003677, GO:0003917, GO:0005737, GO:0006260, GO:0006265, RefSeq:WP_112210096.1, SO:0001217, UniParc:UPI0007DCCD21, UniRef:UniRef100_A0A181CD56, UniRef:UniRef50_A0A7V8AJ75, UniRef:UniRef90_G2I6B5
contig_3	cds	25817	28060	+	JPEOAD_00029		Ribonuclease R	EC:3.1.13.1, KEGG:K12573, SO:0001217, UniRef:UniRef50_A0A7W4KGD5, UniRef:UniRef90_G2I6B6
