#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_4	cds	591	2165	+	CENAFE_00005		cell filamentation protein Fic	COG:COG3177, COG:K, RefSeq:WP_007396290.1, SO:0001217, UniParc:UPI000208024B, UniRef:UniRef100_A0A181CES9, UniRef:UniRef50_W5YE24, UniRef:UniRef90_W5YE24
contig_4	cds	2899	4125	+	CENAFE_00010	istA	IS21 family transposase	RefSeq:WP_010511379.1, SO:0001217, UniParc:UPI000237F157, UniRef:UniRef100_A0A070A8W8, UniRef:UniRef50_A0A0H3X362, UniRef:UniRef90_A0A070A8W8
contig_4	cds	4122	4967	+	CENAFE_00015	istB	IS21-like element helper ATPase IstB	RefSeq:WP_007396167.1, SO:0001217, UniParc:UPI000207F854, UniRef:UniRef100_A0A070ABR2, UniRef:UniRef50_A0A401J958, UniRef:UniRef90_A0A070ABR2
contig_4	cds	5226	5729	+	CENAFE_00020		Transcriptional regulatory protein ros	RefSeq:WP_112209709.1, SO:0001217, UniParc:UPI000DD45894, UniRef:UniRef100_A0A858JRR9, UniRef:UniRef50_A0A181CET6, UniRef:UniRef90_A0A181CET6
contig_4	cds	5759	6286	-	CENAFE_00025	yiaG	Helix-turn-helix domain-containing protein	COG:COG2944, COG:K, SO:0001217, UniParc:UPI0007DDB7CC, UniRef:UniRef100_A0A181C5C2, UniRef:UniRef50_A0A7W4J8J5, UniRef:UniRef90_A0A1D8UZC3
contig_4	cds	6693	6869	+	CENAFE_00030		hypothetical protein	SO:0001217, UniParc:UPI0007DD41D1, UniRef:UniRef100_A0A181C5D1, UniRef:UniRef50_A0A511GWN3, UniRef:UniRef90_A0A511GWN3
contig_4	cds	6847	7269	-	CENAFE_00035		VapC toxin family PIN domain ribonuclease	EC:3.1.-.-, KEGG:K07062, RefSeq:WP_112209708.1, SO:0001217, UniParc:UPI0007DE184C, UniRef:UniRef100_A0A181C689, UniRef:UniRef50_A0A181C689, UniRef:UniRef90_A0A181C689
contig_4	cds	7266	7502	-	CENAFE_00040	stbC1	plasmid stabilization protein	COG:COG4691, COG:V, SO:0001217, UniParc:UPI0007DD58A0, UniRef:UniRef100_A0A858JJ90, UniRef:UniRef50_A0A1P8K2L7, UniRef:UniRef90_A0A070A592
contig_4	cds	7706	7960	-	CENAFE_00045		hypothetical protein	RefSeq:WP_112209706.1, SO:0001217, UniParc:UPI0007DD3B93, UniRef:UniRef100_A0A181C6C1, UniRef:UniRef50_W5YE61, UniRef:UniRef90_W5YE61
contig_4	cds	8037	8453	-	CENAFE_00050	hicB	Antitoxin component HicB of the HicAB toxin-antitoxin system	COG:COG1598, COG:V, RefSeq:WP_061275760.1, SO:0001217, UniParc:UPI000772DF8B, UniRef:UniRef100_A0A318PPA9, UniRef:UniRef50_F8EWG4, UniRef:UniRef90_A0A3T0KAV0
contig_4	cds	8843	9721	-	CENAFE_00055	tnp-IS3	IS3 family transposase	COG:COG2963, COG:X, SO:0001217, UniParc:UPI000207FB59, UniRef:UniRef100_A0A291PK83, UniRef:UniRef50_A0A525CEL5, UniRef:UniRef90_W5YBP4
contig_4	cds	9718	10029	-	CENAFE_00060	tnp-IS3	IS3 family transposase	SO:0001217, UniParc:UPI0001B5C0A1, UniRef:UniRef100_A0A0S3JPH5, UniRef:UniRef50_A0A0D6B0Z5, UniRef:UniRef90_Q5HXU6
contig_4	cds	10376	10798	-	CENAFE_00065		hypothetical protein	RefSeq:WP_112209712.1, SO:0001217, UniParc:UPI0007DD6BE8, UniRef:UniRef100_A0A181C5E0, UniRef:UniRef50_A0A318QLZ7, UniRef:UniRef90_A0A318QLZ7
contig_4	cds	10861	11010	+	CENAFE_00070		hypothetical protein	SO:0001217, UniParc:UPI0007DE24E0, UniRef:UniRef100_A0A181C5E2, UniRef:UniRef50_A0A181C5E2, UniRef:UniRef90_A0A181C5E2
contig_4	cds	11863	12813	-	CENAFE_00075		Plasmid replication initiator protein	RefSeq:WP_112209711.1, SO:0001217, UniParc:UPI0007DCEB44, UniRef:UniRef100_A0A181CEU6, UniRef:UniRef50_A0A0Q8UE54, UniRef:UniRef90_A0A149R074
contig_4	cds	13127	13780	-	CENAFE_00080	parA	NUBPL iron-transfer P-loop NTPase	COG:COG1192, COG:DN, RefSeq:WP_062247395.1, SO:0001217, UniParc:UPI0007854DA9, UniRef:UniRef100_A0A149R0E3, UniRef:UniRef50_W1RVA5, UniRef:UniRef90_B5ZM93
contig_4	cds	13936	14355	-	CENAFE_00085		putative toxin-antitoxin system toxin component, PIN family	RefSeq:WP_007396268.1, SO:0001217, UniParc:UPI000208014E, UniRef:UniRef100_A0A2S3VX35, UniRef:UniRef50_A4BQB6, UniRef:UniRef90_A0A2S3VX35
contig_4	cds	14359	14613	-	CENAFE_00090		RHH-6 domain-containing protein	RefSeq:WP_039998284.1, SO:0001217, UniParc:UPI000586EB68, UniRef:UniRef100_A0A181C5G5, UniRef:UniRef50_W5YL30, UniRef:UniRef90_W5YL30
