#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_4	6693	6869	+	CENAFE_00030	6.2	8.3		SO:0001217, UniParc:UPI0007DD41D1, UniRef:UniRef100_A0A181C5D1, UniRef:UniRef50_A0A511GWN3, UniRef:UniRef90_A0A511GWN3
contig_4	7706	7960	-	CENAFE_00045	10.1	9.9		RefSeq:WP_112209706.1, SO:0001217, UniParc:UPI0007DD3B93, UniRef:UniRef100_A0A181C6C1, UniRef:UniRef50_W5YE61, UniRef:UniRef90_W5YE61
contig_4	10376	10798	-	CENAFE_00065	15.0	5.4		RefSeq:WP_112209712.1, SO:0001217, UniParc:UPI0007DD6BE8, UniRef:UniRef100_A0A181C5E0, UniRef:UniRef50_A0A318QLZ7, UniRef:UniRef90_A0A318QLZ7
contig_4	10861	11010	+	CENAFE_00070	5.7	5.3		SO:0001217, UniParc:UPI0007DE24E0, UniRef:UniRef100_A0A181C5E2, UniRef:UniRef50_A0A181C5E2, UniRef:UniRef90_A0A181C5E2
contig_4	20656	21054	+	CENAFE_00125	14.8	10.8		SO:0001217, UniRef:UniRef50_A0A511FRW1, UniRef:UniRef90_A0A511FRW1
contig_4	23640	24224	+	CENAFE_00145	21.8	9.1		
contig_7	11322	11957	-	CENAFE_00205	23.8	11.4		SO:0001217, UniRef:UniRef50_A0A181C594, UniRef:UniRef90_A0A181C594
contig_7	15603	15842	+	CENAFE_00225	8.6	9.5		RefSeq:WP_034933542.1, SO:0001217, UniParc:UPI0004D89DBE, UniRef:UniRef100_A0A857FTD9, UniRef:UniRef50_W5YEG9, UniRef:UniRef90_W5YEG9
contig_7	16042	16344	+	CENAFE_00235	11.2	9.3		SO:0001217, UniParc:UPI0006C2257F, UniRef:UniRef100_A0A0M0ED54, UniRef:UniRef50_A0A0M0ED54, UniRef:UniRef90_A0A0M0ED54
contig_7	16197	17636	-	CENAFE_00240	53.6	6.6		RefSeq:WP_007396156.1, SO:0001217, UniParc:UPI000207FF19, UniRef:UniRef100_A0A0M0ECB2, UniRef:UniRef50_C7JJ35, UniRef:UniRef90_A0A318PIS7
contig_7	39407	39553	+	CENAFE_00330	5.3	4.4		SO:0001217, UniParc:UPI000312CCEC, UniRef:UniRef100_A0A0M0EBR8, UniRef:UniRef50_A0A0M0EBR8, UniRef:UniRef90_A0A0M0EBR8
contig_7	55277	55780	-	CENAFE_00405	18.2	6.6		RefSeq:WP_223846646.1, SO:0001217, UniParc:UPI0003EA427D, UniRef:UniRef100_W5YM03, UniRef:UniRef50_G2I2Y9, UniRef:UniRef90_G2I819
contig_7	59502	59891	+	CENAFE_00430	14.7	5.2		RefSeq:WP_110569790.1, SO:0001217, UniParc:UPI0007DCF5B9, UniRef:UniRef100_A0A181C9D1, UniRef:UniRef50_A0A3T0KJX2, UniRef:UniRef90_W5YLZ7
contig_7	60954	61490	+	CENAFE_00440	19.9	11.0		RefSeq:WP_110569791.1, SO:0001217, UniParc:UPI0007DD617D, UniRef:UniRef100_A0A181C982, UniRef:UniRef50_W5YEK5, UniRef:UniRef90_W5YEK5
contig_7	62255	62419	-	CENAFE_00445	6.0	8.9		SO:0001217, UniParc:UPI0007DE0863, UniRef:UniRef100_A0A347WGH0, UniRef:UniRef50_A0A0N1FD55, UniRef:UniRef90_A0A347WGH0
contig_7	62741	63238	-	CENAFE_00450	18.6	8.9		RefSeq:WP_112209948.1, SO:0001217, UniParc:UPI000DD32DB4, UniRef:UniRef100_A0A371YZQ4, UniRef:UniRef50_A0A3T0KK12, UniRef:UniRef90_A0A0M0EDH4
contig_7	63262	65622	-	CENAFE_00455	82.5	5.3		RefSeq:WP_110095200.1, SO:0001217, UniParc:UPI0007DCEEA1, UniRef:UniRef100_A0A857FSM2, UniRef:UniRef50_C7JI82, UniRef:UniRef90_G2I809
contig_7	65645	67057	-	CENAFE_00460	50.8	5.5		RefSeq:WP_112209946.1, SO:0001217, UniParc:UPI0007DD0444, UniRef:UniRef100_A0A181C981, UniRef:UniRef50_G2I808, UniRef:UniRef90_G2I808
contig_7	67068	68252	-	CENAFE_00465	41.9	8.2		RefSeq:WP_112209944.1, SO:0001217, UniParc:UPI0007DD949C, UniRef:UniRef100_A0A181C9B6, UniRef:UniRef50_A0A1D8UXU9, UniRef:UniRef90_W5YEK1
