# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	612	926	+	EMBJFE_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAL7
contig_1	cds	1063	1452	+	EMBJFE_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAP8
contig_1	cds	1855	2481	-	EMBJFE_00003	338.0	1.1e-116	0.899	1.0	1.0	UniRef:UniRef90_A0A858JP15
contig_1	cds	2580	3773	+	EMBJFE_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002080752
contig_1	cds	4163	4495	+	EMBJFE_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAJ6
contig_1	cds	4790	4966	+	EMBJFE_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI0
contig_1	cds	4999	5163	+	EMBJFE_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAM4
contig_1	cds	5501	6289	-	EMBJFE_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI3
contig_1	cds	6467	6649	-	EMBJFE_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAM3
contig_1	cds	6817	7515	+	EMBJFE_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAK5
contig_1	cds	7700	8029	+	EMBJFE_00011	-	-	-	-	-	-
contig_1	cds	8360	8521	+	EMBJFE_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAP2
contig_1	cds	8666	8905	-	EMBJFE_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAK9
contig_1	cds	8980	9375	-	EMBJFE_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAH0
contig_1	cds	9587	9961	+	EMBJFE_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI5
contig_1	cds	9994	10797	-	EMBJFE_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAH1
contig_1	cds	10852	11001	-	EMBJFE_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAL6
