# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	612	926	+	EMBJFE_00001		General stress protein	KEGG:K06884, RefSeq:WP_007398508.1, SO:0001217, UniParc:UPI0002080757, UniRef:UniRef100_A0A181CAL7, UniRef:UniRef50_A0A1G7T1M6, UniRef:UniRef90_A0A181CAL7
contig_1	cds	1063	1452	+	EMBJFE_00002		PRC-barrel domain containing protein	RefSeq:WP_007398507.1, SO:0001217, UniParc:UPI0002080756, UniRef:UniRef100_A0A181CAP8, UniRef:UniRef50_A0A4P5P4Z3, UniRef:UniRef90_A0A181CAP8
contig_1	cds	1855	2481	-	EMBJFE_00003		TetR/AcrR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A858JP15, UniRef:UniRef90_A0A858JP15
contig_1	cds	2580	3773	+	EMBJFE_00004		Alpha/beta hydrolase	RefSeq:WP_007398503.1, SO:0001217, UniParc:UPI0002080752, UniRef:UniRef100_UPI0002080752, UniRef:UniRef50_C7JHK5, UniRef:UniRef90_A0A858JK72
contig_1	cds	4163	4495	+	EMBJFE_00005		DUF2934 domain-containing protein	RefSeq:WP_007398501.1, SO:0001217, UniParc:UPI0002080750, UniRef:UniRef100_A0A181CAJ6, UniRef:UniRef50_A0A511XDW0, UniRef:UniRef90_G2I461
contig_1	cds	4790	4966	+	EMBJFE_00006		hypothetical protein	RefSeq:WP_157772009.1, SO:0001217, UniParc:UPI0007DDED69, UniRef:UniRef100_A0A181CAI0, UniRef:UniRef50_A0A181CAI0, UniRef:UniRef90_A0A181CAI0
contig_1	cds	4999	5163	+	EMBJFE_00007		hypothetical protein	RefSeq:WP_007398499.1, SO:0001217, UniParc:UPI000208074E, UniRef:UniRef100_A0A181CAM4, UniRef:UniRef50_A0A181CAM4, UniRef:UniRef90_A0A181CAM4
contig_1	cds	5501	6289	-	EMBJFE_00008		SDR family oxidoreductase	RefSeq:WP_039998969.1, SO:0001217, UniParc:UPI0002E07FC6, UniRef:UniRef100_A0A181CAI3, UniRef:UniRef50_A0A172UFQ7, UniRef:UniRef90_A0A181CAI3
contig_1	cds	6467	6649	-	EMBJFE_00009		Cytochrome c	RefSeq:WP_007398497.1, SO:0001217, UniParc:UPI000208074C, UniRef:UniRef100_A0A181CAM3, UniRef:UniRef50_A0A181CAM3, UniRef:UniRef90_A0A181CAM3
contig_1	cds	6817	7515	+	EMBJFE_00010		Sulfotransferase family protein	RefSeq:WP_007398496.1, SO:0001217, UniParc:UPI000208074B, UniRef:UniRef100_A0A181CAK5, UniRef:UniRef50_A0A318R5A3, UniRef:UniRef90_A0A181CAK5
contig_1	cds	7700	8029	+	EMBJFE_00011		hypothetical protein	
contig_1	cds	8360	8521	+	EMBJFE_00012		DUF2934 domain-containing protein	RefSeq:WP_007398493.1, SO:0001217, UniParc:UPI0002080748, UniRef:UniRef100_A0A181CAP2, UniRef:UniRef50_A0A0M0EKH1, UniRef:UniRef90_A0A181CAP2
contig_1	cds	8666	8905	-	EMBJFE_00013		hypothetical protein	RefSeq:WP_112210005.1, SO:0001217, UniParc:UPI0007DE2C38, UniRef:UniRef100_A0A181CAK9, UniRef:UniRef50_A0A181CAK9, UniRef:UniRef90_A0A181CAK9
contig_1	cds	8980	9375	-	EMBJFE_00014		HTH merR-type domain-containing protein	RefSeq:WP_007398491.1, SO:0001217, UniParc:UPI0002080746, UniRef:UniRef100_A0A181CAH0, UniRef:UniRef50_A0A0M0EKF1, UniRef:UniRef90_A0A181CAH0
contig_1	cds	9587	9961	+	EMBJFE_00015		DUF952 domain-containing protein	RefSeq:WP_034932564.1, SO:0001217, UniParc:UPI000317B398, UniRef:UniRef100_A0A181CAI5, UniRef:UniRef50_G2I457, UniRef:UniRef90_A0A181CAI5
contig_1	cds	9994	10797	-	EMBJFE_00016	mgtC	Protein MgtC	KEGG:K07507, RefSeq:WP_034932566.1, SO:0001217, UniParc:UPI0004D51811, UniRef:UniRef100_A0A181CAH1, UniRef:UniRef50_A0A318QT86, UniRef:UniRef90_A0A181CAH1
contig_1	cds	10852	11001	-	EMBJFE_00017		hypothetical protein	RefSeq:WP_007398488.1, SO:0001217, UniParc:UPI0002080743, UniRef:UniRef100_A0A181CAL6, UniRef:UniRef50_A0A181CAL6, UniRef:UniRef90_A0A181CAL6
contig_1	cds	11103	11702	-	EMBJFE_00018		Lipoprotein	RefSeq:WP_007398487.1, SO:0001217, UniParc:UPI0002080742, UniRef:UniRef100_A0A858JMS5, UniRef:UniRef50_A0A0D6QCA9, UniRef:UniRef90_A0A858JMS5
contig_1	cds	11849	12232	-	EMBJFE_00019		hypothetical protein	SO:0001217, UniRef:UniRef50_G2I452, UniRef:UniRef90_A0A858JEJ1
contig_1	cds	12189	12680	-	EMBJFE_00020		hypothetical protein	RefSeq:WP_007398485.1, SO:0001217, UniParc:UPI0002080740, UniRef:UniRef100_A0A181CAJ5, UniRef:UniRef50_A0A9N7CPN5, UniRef:UniRef90_A0A181CAJ5
contig_1	cds	12677	13144	-	EMBJFE_00021		DUF1515 domain-containing protein	RefSeq:WP_007398484.1, SO:0001217, UniParc:UPI000208073F, UniRef:UniRef100_A0A181CAJ7, UniRef:UniRef50_A0A252BS35, UniRef:UniRef90_A0A181CAJ7
contig_1	cds	13207	13698	-	EMBJFE_00022		Outer membrane protein	RefSeq:WP_007398483.1, SO:0001217, UniParc:UPI000208073E, UniRef:UniRef100_A0A181CAN0, UniRef:UniRef50_A0A0D6QA93, UniRef:UniRef90_A0A181CAN0
contig_1	cds	13709	15337	-	EMBJFE_00023		Glycine-rich domain-containing protein	RefSeq:WP_007398482.1, SO:0001217, UniParc:UPI000208073D, UniRef:UniRef100_UPI000208073D, UniRef:UniRef50_A0A318Q8D8, UniRef:UniRef90_UPI000A9ABDF2
contig_1	cds	15337	15963	-	EMBJFE_00024		Phage tail protein	RefSeq:WP_039998921.1, SO:0001217, UniParc:UPI00031FE55C, UniRef:UniRef100_A0A181CAG3, UniRef:UniRef50_A0A0D6NLK9, UniRef:UniRef90_A0A850P706
contig_1	cds	15956	17080	-	EMBJFE_00025	jayE	Baseplate protein J-like domain-containing protein	COG:COG3299, COG:X, RefSeq:WP_007398480.1, SO:0001217, UniParc:UPI000208073B, UniRef:UniRef100_A0A181CAH5, UniRef:UniRef50_Q5FN85, UniRef:UniRef90_A0A318QLH5
contig_1	cds	17180	17767	+	EMBJFE_00026		GNAT family N-acetyltransferase	RefSeq:WP_007398479.1, SO:0001217, UniParc:UPI0002080644, UniRef:UniRef100_A0A181CAG1, UniRef:UniRef50_A0A380PPD6, UniRef:UniRef90_A0A181CAG1
contig_1	cds	17774	18136	-	EMBJFE_00027		Phage tail protein	RefSeq:WP_007398478.1, SO:0001217, UniParc:UPI0002080643, UniRef:UniRef100_A0A181CAK7, UniRef:UniRef50_A0A181CAK7, UniRef:UniRef90_A0A181CAK7
contig_1	cds	18133	18366	-	EMBJFE_00028		hypothetical protein	RefSeq:WP_139064286.1, SO:0001217, UniParc:UPI0002FDA5E1, UniRef:UniRef100_A0A181CAG2, UniRef:UniRef50_A0A181CAG2, UniRef:UniRef90_A0A181CAG2
contig_1	cds	18363	19043	-	EMBJFE_00029		Baseplate assembly protein	RefSeq:WP_034928008.1, SO:0001217, UniParc:UPI000312D549, UniRef:UniRef100_A0A181CAK3, UniRef:UniRef50_A0A0D6NNF0, UniRef:UniRef90_A0A181CAK3
contig_1	cds	19036	20184	-	EMBJFE_00030		Phage late control gene D protein (GPD)	SO:0001217, UniRef:UniRef50_A0A0D6NMS9, UniRef:UniRef90_A0A858JEI3
contig_1	cds	20193	20402	-	EMBJFE_00031	lysM	LysM domain-containing protein	RefSeq:WP_007398474.1, SO:0001217, UniParc:UPI000208063F, UniRef:UniRef100_A0A181CAI8, UniRef:UniRef50_A5G1H9, UniRef:UniRef90_A0A181CAI8
contig_1	cds	20419	21339	-	EMBJFE_00032		Phage protein	RefSeq:WP_007398473.1, SO:0001217, UniParc:UPI000208063E, UniRef:UniRef100_A0A181CAM2, UniRef:UniRef50_G2I441, UniRef:UniRef90_A0A181CAM2
contig_1	cds	21566	22858	-	EMBJFE_00033		hypothetical protein	RefSeq:WP_099963227.1, SO:0001217, UniParc:UPI0007DCD737, UniRef:UniRef100_A0A181CAJ0, UniRef:UniRef50_A0A181CAJ0, UniRef:UniRef90_A0A181CAJ0
contig_1	cds	23024	23335	-	EMBJFE_00034		Phage protein	RefSeq:WP_099963228.1, SO:0001217, UniParc:UPI0007DDFA81, UniRef:UniRef100_A0A181CAF5, UniRef:UniRef50_G2I439, UniRef:UniRef90_A0A181CAF5
contig_1	cds	23346	23777	-	EMBJFE_00035		Phage protein	RefSeq:WP_034927992.1, SO:0001217, UniParc:UPI0004D55F26, UniRef:UniRef100_A0A181CAG6, UniRef:UniRef50_G2I438, UniRef:UniRef90_G2I438
contig_1	cds	23842	25326	-	EMBJFE_00036		Phage tail protein	RefSeq:WP_099963229.1, SO:0001217, UniParc:UPI0007DE34A8, UniRef:UniRef100_A0A181CAF4, UniRef:UniRef50_A0AAN4R4L8, UniRef:UniRef90_A0A181CAF4
contig_1	cds	25525	26394	-	EMBJFE_00037		Phage protein	RefSeq:WP_007398470.1, SO:0001217, UniParc:UPI000208063B, UniRef:UniRef100_A0A181CAJ8, UniRef:UniRef50_G2I436, UniRef:UniRef90_A0A181CAJ8
contig_1	cds	26503	27153	-	EMBJFE_00038		hypothetical protein	RefSeq:WP_007398469.1, SO:0001217, UniParc:UPI000208063A, UniRef:UniRef100_A0A181CAF3, UniRef:UniRef50_G2I435, UniRef:UniRef90_A0A181CAF3
